"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"Quinnipiac","team.php?team=Quinnipiac","Quinnipiac","MAAC","conf.php?c=MAAC","MAAC",2025
"Radford","team.php?team=Radford","Radford","BSth","conf.php?c=BSth","BSth",2025
"Rhode Island","team.php?team=Rhode+Island","Rhode+Island","A10","conf.php?c=A10","A10",2025
"Rice","team.php?team=Rice","Rice","Amer","conf.php?c=Amer","Amer",2025
"Richmond","team.php?team=Richmond","Richmond","A10","conf.php?c=A10","A10",2025
"Rider","team.php?team=Rider","Rider","MAAC","conf.php?c=MAAC","MAAC",2025
"Robert Morris","team.php?team=Robert+Morris","Robert+Morris","Horz","conf.php?c=Horz","Horz",2025
"Rutgers","team.php?team=Rutgers","Rutgers","B10","conf.php?c=B10","B10",2025
"SIUE","team.php?team=SIUE","SIUE","OVC","conf.php?c=OVC","OVC",2025
"SMU","team.php?team=SMU","SMU","ACC","conf.php?c=ACC","ACC",2025
"Sacramento St.","team.php?team=Sacramento+St.","Sacramento+St.","BSky","conf.php?c=BSky","BSky",2025
"Sacred Heart","team.php?team=Sacred+Heart","Sacred+Heart","MAAC","conf.php?c=MAAC","MAAC",2025
"Saint Francis","team.php?team=Saint+Francis","Saint+Francis","NEC","conf.php?c=NEC","NEC",2025
"Saint Joseph's","team.php?team=Saint+Joseph%27s","Saint+Joseph%27s","A10","conf.php?c=A10","A10",2025
"Saint Louis","team.php?team=Saint+Louis","Saint+Louis","A10","conf.php?c=A10","A10",2025
"Saint Mary's","team.php?team=Saint+Mary%27s","Saint+Mary%27s","WCC","conf.php?c=WCC","WCC",2025
"Saint Peter's","team.php?team=Saint+Peter%27s","Saint+Peter%27s","MAAC","conf.php?c=MAAC","MAAC",2025
"Sam Houston St.","team.php?team=Sam+Houston+St.","Sam+Houston+St.","CUSA","conf.php?c=CUSA","CUSA",2025
"Samford","team.php?team=Samford","Samford","SC","conf.php?c=SC","SC",2025
"San Diego","team.php?team=San+Diego","San+Diego","WCC","conf.php?c=WCC","WCC",2025
"San Diego St.","team.php?team=San+Diego+St.","San+Diego+St.","MWC","conf.php?c=MWC","MWC",2025
"San Francisco","team.php?team=San+Francisco","San+Francisco","WCC","conf.php?c=WCC","WCC",2025
"San Jose St.","team.php?team=San+Jose+St.","San+Jose+St.","MWC","conf.php?c=MWC","MWC",2025
"Santa Clara","team.php?team=Santa+Clara","Santa+Clara","WCC","conf.php?c=WCC","WCC",2025
"Seattle","team.php?team=Seattle","Seattle","WAC","conf.php?c=WAC","WAC",2025
"Seton Hall","team.php?team=Seton+Hall","Seton+Hall","BE","conf.php?c=BE","BE",2025
"Siena","team.php?team=Siena","Siena","MAAC","conf.php?c=MAAC","MAAC",2025
